;ev_load_shifting_z1;ev_load_shifting_z2;ev_load_shifting_z3;ev_load_shifting_z4;ev_load_shifting_z5;ev_load_shifting_z6
283;5309.00526;4851.163852;2123.21431;3729.89095;5236.969776;3135.708
284;5106.543195;4977.441436;2095.588845;3698.481342;5021.75184;3193.19598
285;5084.04741;5009.010832;2091.64235;3588.547714;4994.849598;2916.20844
286;4701.619065;4788.02506;1708.832335;2991.765162;4510.609242;2200.22178
287;3711.804525;3904.081972;1404.95222;2340.015796;3721.47681;1604.43726
288;2759.48296;2978.046356;1053.714165;1649.00442;2735.06127;1207.24758
289;2144.59817;2104.6264;809.031475;1177.8603;2062.50522;867.54588
290;1649.6909;1483.761612;627.492705;863.76422;1542.395208;731.6652
291;1432.231645;1115.451992;564.348785;761.682994;1309.242444;731.6652
292;1432.231645;1010.220672;572.241775;793.092602;1273.372788;783.927
293;1552.209165;1062.836332;651.171675;1052.221868;1336.144686;1008.65274
294;2054.61503;1378.530292;1116.858085;1963.1005;1793.4828;2309.97156
295;4446.666835;2914.907564;1831.17368;3243.042026;3712.509396;3109.5771
296;5826.408315;4577.56242;2107.42833;3549.285704;5093.491152;2759.42304
297;5159.03336;4703.840004;1823.28069;3031.027172;4573.38114;2262.93594
298;4281.697745;3946.1745;1578.598;2661.964278;3864.955434;2242.03122
299;4146.723035;3546.295484;1669.367385;2905.38874;3891.857676;2519.01876
300;4484.15981;3988.267028;1756.190275;3046.731976;4295.391306;2430.1737
301;4289.19634;4061.928952;1689.09986;2944.65075;4151.912682;2435.39988
302;4274.19915;3946.1745;1661.474395;2881.831534;4160.880096;2351.781
303;4161.720225;3840.94318;1633.84893;2850.421926;4026.368886;2456.3046
304;4326.689315;3819.896916;1716.725325;3007.469966;4169.84751;2728.06596
305;4776.605015;4093.498348;1795.655225;3148.813202;4537.511484;2890.07754
306;4889.08394;4240.822196;1957.46152;3478.614086;4680.990108;3151.38654
307;5174.03055;4756.455664;2040.337915;3643.514528;5120.393394;3036.41058
308;4964.06989;4861.686984;2012.71245;3612.10492;4887.24063;3088.67238
309;4956.571295;4872.210116;2020.60544;3517.876096;4851.370974;2843.04192
310;4581.641545;4682.79374;1685.153365;3007.469966;4394.03286;2137.50762
311;3764.29469;3946.1745;1404.95222;2394.98261;3622.835256;1557.40164
312;2871.961885;3051.70828;1112.91159;1853.166872;2761.963512;1510.36602
313;2699.4942;2483.459152;1022.142205;1539.070792;2492.941092;1040.00982
314;1949.6347;1946.77942;722.208585;989.402652;1712.776074;642.82014
315;1312.254125;1199.637048;536.72332;691.011376;1129.894164;710.76048
316;1387.240075;947.08188;560.40229;714.568582;1156.796406;653.2725
317;1312.254125;936.558748;544.61631;745.97819;1058.154852;684.62958
318;1432.231645;957.605012;785.352505;1162.155496;1156.796406;1332.6759
319;2781.978745;1662.654856;1176.05551;2010.214912;2170.114188;2074.79346
320;4064.23849;2830.722508;1669.367385;2960.355554;3300.008352;2801.23248
321;5368.99402;4125.067744;2186.35823;3855.529382;4349.19579;3491.08824
322;6433.79451;5377.320452;2502.07783;4279.55909;5254.904604;3417.92172
323;6186.340875;5693.014412;2561.275255;4444.459532;5120.393394;3553.8024
324;6366.307155;6019.231504;2616.526185;4546.540758;5389.415814;3674.00454
325;6508.78046;6145.509088;2632.312165;4554.39316;5523.927024;3621.74274
326;6246.329635;6092.893428;2525.7568;4350.230708;5317.676502;3355.20756
327;5796.413935;5766.676336;2367.897;4075.396638;4967.947356;3287.26722
328;5601.450465;5450.982376;2308.699575;3918.348598;4797.56649;3177.51744
329;5458.97716;5240.519736;2158.732765;3627.809724;4680.990108;2958.01788
330;5046.554435;4735.4094;2194.25122;3831.972176;4501.641828;3611.29038
331;5991.377405;5335.227924;2490.238345;4303.116296;5577.731508;3606.0642
332;5968.88162;5766.676336;2498.131335;4326.673502;5586.698922;3736.7187
333;5976.380215;5871.907656;2466.559375;4153.920658;5541.861852;3313.39812
334;5181.529145;5493.074904;2008.765955;3407.942468;4779.631662;2315.19774
335;4004.24973;4367.09978;1610.16996;2732.635896;3649.737498;2027.75784
336;3509.34246;3598.911144;1341.8083;2198.67256;3120.660072;1562.62782
337;2909.45486;3409.494768;1499.6681;1915.986088;2869.57248;1583.53254
338;2062.113625;2336.135304;1183.9485;1232.827114;1865.222112;1384.9377
339;1829.65718;1588.992932;1101.072105;1052.221868;1596.199692;1337.90208
340;1762.169825;1389.053424;1081.33963;1005.107456;1470.655896;1316.99736
341;1739.67404;1336.437764;1073.44664;1067.926672;1389.94917;1343.12826
342;1814.65999;1357.484028;1211.573965;1507.661184;1479.62331;1829.163
343;2662.001225;2062.533872;1594.38398;2449.949424;2241.8535;2785.55394
344;4161.720225;3567.341748;2056.123895;3392.237664;3802.183536;2879.62518
345;4559.14576;4577.56242;2217.93019;3792.710166;4259.52165;3391.79082
346;5144.03617;5229.996604;2387.629475;4208.887472;4905.175458;3360.43374
347;5016.560055;5629.87562;2431.04092;4373.787914;4869.305802;3475.4097
348;5151.534765;5903.477052;2486.29185;4609.359974;5129.360808;3590.38566
349;5174.03055;6198.124748;2466.559375;4625.064778;5236.969776;3339.52902
350;4844.09237;6134.985956;2312.64607;4444.459532;4985.882184;3146.16036
351;4499.157;5871.907656;2249.50215;4444.459532;4689.957522;3292.4934
352;4701.619065;6019.231504;2336.32504;4632.91718;4932.0777;3344.7552
353;4814.09799;6334.925464;2288.9671;4350.230708;5048.654082;3208.87452
354;4596.638735;5745.630072;2300.806585;4295.263894;4743.762006;3417.92172
355;4919.07832;5840.33826;2423.14793;4444.459532;5138.328222;3595.61184
356;5114.04179;6019.231504;2521.810305;4499.426346;5335.61133;3559.02858
357;4979.06708;6061.324032;2490.238345;4303.116296;5308.709088;3621.74274
358;4979.06708;5829.815128;2403.415455;4012.577422;5353.546158;3271.58868
359;4371.680885;5324.704792;2103.481835;3368.680458;4663.05528;2691.4827
360;3509.34246;4367.09978;1685.153365;2426.392218;3667.672326;1672.3776
361;2294.57007;2935.953828;1199.73448;1476.251576;2331.52764;1369.25916
362;1912.141725;1883.640628;1049.76767;1162.155496;1910.059182;1228.1523
363;1739.67404;1515.331008;994.51674;1044.369466;1703.80866;1207.24758
